license_number,provider_name,doing_business_as,license_type,status,address,city,state,zip,county
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55406-2343,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-2441,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-2255,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1313,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55406-3039,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55406-2809,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-3777,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2173,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2148,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2444,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-3462,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55406-3527,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55406-1335,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1026,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-1459,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2161,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-1415,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-2041,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55406-2456,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-4127,Hennepin
,,,Child Care Center,Pending Reopening as of 01/31/2025,,Minneapolis,MN,55406-3357,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55406-4063,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55407-2930,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1997,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1009,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-4938,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55407-1620,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55407-3331,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-3435,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-2326,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-2031,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-3079,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-2107,Hennepin
,,,Child Care Center,Closed as of 09/13/2025,,Minneapolis,MN,55407-2444,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55407-4409,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1819,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55407-2512,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1742,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-2517,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1777,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1547,Hennepin
,,,Home and Community Based Services,Closed as of 10/29/2025,,Minneapolis,MN,55407-3202,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-1805,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1849,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-6600,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-4004,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1417,Hennepin
,,,Child Care Center,Closed as of 10/01/2025,,Minneapolis,MN,55407-2520,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1948,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55407-3579,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55407-3554,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1852,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-3535,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55407-6700,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-3240,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-6702,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-2603,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-3706,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-1505,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55407-4385,Hennepin
,,,Home and Community Based Services,Revoked as of 12/18/2024,,Minneapolis,MN,55407-3613,Hennepin
,,,Home and Community Based Services,Closed as of 09/10/2025,,Minneapolis,MN,55407-1884,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-3127,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-6601,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-1810,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55407-1122,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-3512,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1006,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-3623,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-3459,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-2823,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55407-1763,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55407-2727,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-2964,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Minneapolis,MN,55407-2109,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-2944,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1720,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55407-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55407-5322,Hennepin
,,,Adult Day Care Services,Revoked as of 03/11/2025,,Minneapolis,MN,55407-1549,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55407-1809,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-3548,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-1008,Hennepin
,,,Child Care Center,Pending Reopening as of 02/02/2025,,Minneapolis,MN,55407-2704,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55407-2926,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1621,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-1310,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-2801,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-4323,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-2033,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55407-1116,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1013,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-1901,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55407-2844,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-4022,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-1301,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-1161,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55407-1776,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55407-2007,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55407-3410,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55407-1900,Hennepin
,,,Child Caring-Placing Agency,Active,,Minneapolis,MN,55408,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3025,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3368,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-4552,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55408-4548,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55408-2907,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2474,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-5202,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-4670,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-4789,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3151,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1602,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1623,Hennepin
,,,Certified Child Care Center,Pending Reopening as of 10/02/2025,,Minneapolis,MN,55408-4429,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1628,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-4820,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-5203,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2409,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3470,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2802,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55408-4529,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2995,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2160,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3630,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55408-0000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1601,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55408-2554,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2954,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55408-4898,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2465,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2934,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2475,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3407,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1907,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55408-3154,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2885,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1457,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55408-1104,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55408-3825,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55408-4526,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55408-4348,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55408-3136,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3115,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2162,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55408-3119,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-3026,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1080,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55408-3817,Hennepin
,,,Child Caring-Placing Agency,Active,,Minneapolis,MN,55408-4785,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55408-2922,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-1309,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2460,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55408-4831,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55408-3019,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2502,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55408-2329,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55408-2297,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55409-1309,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55409-1490,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55409-1347,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55409,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55409-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55409-1917,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55409-1661,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55409-1284,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55409-1442,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55409-1300,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55409-1226,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55409-2105,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55409-1233,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55409-1710,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55409-1601,Hennepin
,,,Family Child Care,Conditional as of 06/16/2025,,Minneapolis,MN,55409-1321,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55409-1639,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55409-1350,Hennepin
,,,Residential Facilities for Adults with Mental Illness,Active,,Minneapolis,MN,55410-1553,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55410,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55410-2824,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55410-1551,Hennepin
